frame_index,time_seconds,scale_reading_kg
0,0,0
1,0.5,0
2,1,0
3,1.5,0
4,2,0
5,2.5,0
6,3,0
7,3.5,0
8,4,0
9,4.5,0.015
10,5,0.125
11,5.5,0.675
12,6,0.94
13,6.5,0.895
14,7,0.865
15,7.5,0.845
16,8,0.835
17,8.5,0.8
18,9,0.785
19,9.5,0.78
20,10,0.775
21,10.5,0.765
22,11,0.765
23,11.5,0.74
24,12,0.715
25,12.5,0.68
26,13,0.685
27,13.5,0.66
28,14,0.655
29,14.5,0.64
30,15,0.62
31,15.5,0.615
32,16,0.575
33,16.5,0.59
34,17,0.605
35,17.5,0.565
36,18,0.565
37,18.5,0.585
38,19,0.55
39,19.5,0.55
40,20,0.596
41,20.5,0.56
42,21,0.545
43,21.5,0.54
44,22,0.53
45,22.5,0.525
46,23,0.5155
47,23.5,0.495
48,24,0.485
49,24.5,0.48
50,25,0.505
51,25.5,0.5
52,26,0.24
53,26.5,-0.235
54,27,-0.296
55,27.5,-0.25
56,28,-0.25
57,28.5,-0.25
58,29,-0.25
59,29.5,-0.25
60,30,-0.25
61,30.5,-0.25
62,31,-0.25
63,31.5,-0.25
64,32,-0.25
65,32.5,-0.25
66,33,-0.25
67,33.5,-0.25
68,34,-0.25
69,34.5,-0.25
