frame_index,time_seconds,scale_reading_kg
0,0.0,0.015
1,0.5,0.125
2,1.0,0.675
3,1.5,0.94
4,2.0,0.895
5,2.5,0.865
6,3.0,0.845
7,3.5,0.835
8,4.0,0.8
9,4.5,0.785
10,5.0,0.78
11,5.5,0.775
12,6.0,0.765
13,6.5,0.765
14,7.0,0.74
15,7.5,0.715
16,8.0,0.68
17,8.5,0.685
18,9.0,0.66
19,9.5,0.655
20,10.0,0.64
21,10.5,0.62
22,11.0,0.615
23,11.5,0.575
24,12.0,0.59
25,12.5,0.605
26,13.0,0.565
27,13.5,0.565
28,14.0,0.585
29,14.5,0.55
30,15.0,0.55
31,15.5,0.596
32,16.0,0.56
33,16.5,0.545
34,17.0,0.54
35,17.5,0.53
36,18.0,0.525
37,18.5,0.5155
38,19.0,0.495
39,19.5,0.485
40,20.0,0.48
41,20.5,0.505
42,21.0,0.5
43,21.5,0.24
